Time (s), X (m/s2), Y (m/s2), Z (m/s2)
0,-0.379079,-11.360785,-2.260261
0.0198516,-0.872907,-8.949018,-0.660694
0.0397047,-2.235935,-7.545652,-0.087733
0.0595578,-2.658072,-7.629737,-2.905412
0.0794094,-1.764852,-9.183477,-3.813255
0.0992625,-0.138126,-8.380577,-3.976434
0.1191141,0.711653,-7.947409,-3.336847
0.1389672,1.059827,-8.778053,-3.183618
0.1588203,1.401135,-9.927969,-2.696618
0.1786734,0.915351,-10.61476,-1.945318
0.198525,0.493071,-9.725775,-2.020553
0.2183781,0.518986,-8.513513,-2.001505
0.2382312,0.507379,-8.223777,-2.281291
0.2580828,0.363545,-8.533988,-2.375029
0.2779359,0.128291,-9.069323,-2.228446
0.297789,-0.326138,-9.364202,-1.841486
0.3176406,-0.951207,-9.491277,-1.531504
0.3374937,-1.145606,-9.223365,-1.053707
0.3573469,-1.014203,-8.926293,-0.426656
0.3771984,-1.367233,-9.327226,-0.385668
0.3970515,-1.589865,-9.541862,-0.383982
0.4169047,-1.588342,-9.703948,-0.413354
0.4367563,-1.672877,-9.230433,-0.251027
0.4566094,-1.549613,-8.568274,-0.367347
0.4764625,-1.232171,-8.290594,-0.754375
0.496314,-0.600121,-8.702003,-0.876967
0.5161672,-0.114405,-9.494877,-0.634971
0.5360203,-0.406775,-9.613879,-0.259024
0.5558718,-0.815513,-9.362545,-0.018416
0.575725,-1.666594,-9.891137,0.035865
0.5955781,-2.187802,-10.945035,0.226271
0.6154312,-2.194736,-11.226488,1.003477
0.6352828,-1.53113,-10.97188,1.380765
0.6551359,-1.147665,-10.291448,0.471323
0.674989,-1.194237,-11.474318,-0.949368
0.6948406,-5.645336,-14.135262,-2.787943
0.7146937,-6.031368,-12.482879,-2.997579
0.7345468,-1.610733,-10.494466,-3.792645
0.7544,-0.24553,-10.076831,-3.804607
0.7742516,0.445628,-9.457192,-4.252964
0.7941047,0.248164,-8.516539,-3.815869
0.8139578,-1.113131,-8.584496,-3.108201
0.8338093,-2.188865,-9.416281,-2.1021
0.8536625,-2.37839,-10.749199,-1.195607
0.8735468,-2.367128,-11.142375,-1.528095
0.8933672,-2.516382,-10.124984,-2.173485
0.9132203,-2.189249,-8.680829,-2.416228
0.9330734,-2.034066,-8.262256,-2.362646
0.9529266,-1.531963,-7.945752,-2.045328
0.9727781,-0.713434,-8.673485,-1.958189
0.9926312,-0.383628,-9.340585,-1.547765
1.0124843,-0.466285,-8.385568,-1.19983
1.0323359,-0.726085,-7.494205,-1.04483
1.052189,-1.528104,-7.153635,-0.644605
1.0720421,-1.881172,-7.362247,-0.266082
1.0918937,-2.085551,-7.835303,-0.135004
1.1117468,-2.155576,-8.343524,-0.138605
1.1316,-2.343205,-8.829021,0.070361
1.1514515,-2.496453,-8.961842,-0.154838
1.1713047,-2.582376,-8.952639,-0.134209
1.1911577,-2.408155,-8.950052,0.108946
1.2110109,-2.258814,-9.489199,-0.18308
1.2308624,-2.201602,-10.71479,-0.838076
1.2507156,-2.05231,-12.160764,-0.523018
1.2705686,-2.7862,-12.210333,-0.688323
1.2904203,-3.141997,-10.932845,1.036574
1.3102734,-3.19555,-10.104096,0.661374
1.3301265,-2.805851,-11.938869,-2.060737
1.3499796,-0.94592,-14.318303,-1.403299
1.3698312,0.048717,-12.78317,-4.180027
1.3896843,0.357416,-10.663746,-1.016865
1.4095376,-1.170774,-10.122868,-3.512811
1.429389,-1.083922,-9.830956,-3.824852
1.4492422,-0.871767,-9.804304,-4.882026
1.4690952,0.888546,-9.323922,-3.865803
1.4889468,2.418594,-9.59619,-3.00999
1.5087999,2.628268,-11.041905,-1.837847
1.5286531,1.976691,-10.469863,-1.484587
1.5485047,1.724017,-8.875459,-1.398041
1.5683577,1.492411,-8.012934,-1.491444
1.5882109,1.302513,-8.085373,-1.511201
1.6080624,0.674102,-8.48848,-1.532998
1.6279156,-0.486894,-8.822097,-1.219051
1.6477686,-1.352398,-9.532734,-1.106543
1.6676203,-1.72802,-9.09947,-0.953362
1.6874734,-1.449794,-8.757808,-0.828442
1.7073265,-1.117776,-8.286332,-0.810227
1.7271781,-0.929046,-8.667231,-0.878758
1.7470312,-1.22766,-9.181342,-0.595112
1.7668843,-1.5601,-9.539716,-0.17675
1.7867359,-2.239709,-9.498124,-0.159597
1.806589,-2.804118,-8.926809,0.148124
1.8264422,-2.95138,-8.116497,0.139371
1.8462937,-2.627043,-7.958087,-0.175725
1.8661718,-2.062078,-8.809839,-0.275027
1.8859999,-1.828806,-9.666734,-0.373831
1.9058532,-1.768281,-9.924436,-0.408202
1.9257046,-1.795728,-9.995314,-0.391701
1.9455577,-1.733613,-10.393929,-0.392333
1.9654109,-1.607036,-11.024323,0.360193
1.9852624,-1.517014,-10.988361,0.934725
2.0051155,-0.860945,-10.62086,1.096295
2.0249686,-0.194208,-10.116192,-0.147617
2.0448203,-0.898439,-11.937738,-1.393732
2.0646734,-5.934566,-13.191466,-1.186471
2.0845265,-5.01431,-11.596393,-2.569084
2.1043797,-2.014606,-11.246323,-3.897703
2.1242313,-0.065055,-11.170398,-5.524908
2.1440842,0.915227,-10.648547,-6.251788
2.1639376,1.14327,-8.934022,-5.192765
2.183789,0.694615,-7.866485,-3.393408
2.2036421,-0.585162,-8.404462,-1.439519
2.2234952,-2.524446,-10.903549,-0.233109
2.2433484,-3.919375,-11.881265,-0.871537
2.2632,-4.151603,-9.496449,-1.553463
2.2830529,-3.514142,-6.831644,-1.70042
2.3029063,-2.383112,-6.484504,-1.893699
2.3227577,-1.248624,-7.909743,-1.741705
2.3426108,-0.334748,-8.849353,-1.591895
2.362464,0.452744,-8.925392,-1.159138
2.3823154,0.331616,-7.583835,-0.970016
2.4021688,-0.753972,-7.094345,-0.565893
2.4220219,-1.997234,-7.488737,-0.211571
2.4418733,-2.927678,-7.902503,0.136718
2.4617264,-3.408462,-8.751171,0.203105
2.4815812,-3.495161,-9.407364,0.110172
2.5014327,-3.559938,-9.636959,0.180245
2.5212843,-3.667371,-9.357392,0.125504
2.5411372,-4.017509,-8.85686,-0.067564
2.5609906,-4.041144,-8.546535,-0.008169
2.5808423,-4.380709,-8.738204,0.106906
2.6006951,-4.745049,-9.405459,-0.092311
2.6205482,-4.396846,-10.769895,-0.252368
2.6403997,-3.538458,-11.780286,-0.038001
2.660253,-2.627876,-11.867607,0.777234
2.6801062,-3.332566,-11.178527,0.732032
2.6999576,-3.609451,-10.707368,0.660895
2.7198107,-3.61104,-12.628149,-2.037839
2.7396624,-1.708512,-14.690267,-2.121914
2.7595172,0.004089,-13.041245,-3.915956
2.7793686,-0.871307,-9.572152,-0.894723
2.7992218,-1.244592,-8.602587,-4.861436
2.8190734,-0.349783,-10.085642,-3.764087
2.8389266,-0.940624,-9.930554,-5.505199
2.8588092,-0.21069,-8.919416,-3.565283
2.8786311,-0.142158,-8.963747,-3.213421
2.8984845,-0.111666,-10.001893,-1.997051
2.9183373,-1.249419,-10.341869,-1.680184
2.938189,-1.156878,-9.283843,-1.703197
2.9580421,-0.547889,-8.275214,-1.758666
2.9778953,-0.144792,-7.9956,-1.884792
2.9977469,-0.612868,-8.289052,-1.955354
3.0175998,-1.444929,-8.29996,-1.727541
3.0374529,-2.000039,-8.165578,-1.218093
3.0573044,-2.358337,-7.777794,-1.165928
3.0771577,-2.00274,-7.151059,-1.22406
3.0970109,-1.511268,-7.391916,-1.311774
3.116864,-1.801388,-7.683788,-1.282995
3.1367154,-1.903955,-8.41243,-0.979152
3.1565688,-1.90452,-9.034836,-0.737251
3.1764219,-1.624504,-9.024224,-0.557351
3.1962733,-1.499192,-8.611475,-0.524282
3.2161264,-1.360155,-8.399185,-0.861798
3.2359798,-1.107577,-8.578435,-0.983912
3.2558327,-1.080063,-9.078258,-1.267826
3.2756844,-1.265843,-10.499848,-1.381177
3.2955372,-1.465395,-11.747237,-1.349803
3.3153906,-1.604307,-12.092672,-0.742509
3.335242,-0.908686,-11.864342,0.363421
