Time,X,Y,Z
0,-1.9668,9.335,2.6193
0.0099,-1.9752,9.3482,2.6169
0.0199,-1.9788,9.3541,2.6097
0.0298,-1.9764,9.3541,2.6133
0.0399,-1.974,9.3541,2.6169
0.0499,-1.9632,9.3553,2.6276
0.0598,-1.9429,9.3541,2.636
0.0699,-1.9285,9.3541,2.648
0.0798,-1.913,9.3434,2.6635
0.0898,-1.8962,9.3398,2.6851
0.1018,-1.8878,9.3374,2.7043
0.1098,-1.889,9.3314,2.7234
0.1199,-1.8914,9.3242,2.7414
0.1299,-1.889,9.3242,2.7545
0.1398,-1.8914,9.3218,2.7677
0.15,-1.8986,9.317,2.7785
0.1598,-1.8986,9.3015,2.7845
0.1699,-1.9058,9.2823,2.7833
0.1799,-1.9178,9.2692,2.7833
0.1899,-1.9333,9.2608,2.7785
0.1999,-1.9405,9.2476,2.7833
0.2099,-1.9369,9.2308,2.7833
0.22,-1.9309,9.2165,2.7761
0.2299,-1.9154,9.2105,2.7689
0.2399,-1.8974,9.2177,2.7366
0.2498,-1.8735,9.2464,2.6947
0.2599,-1.8519,9.2763,2.648
0.2699,-1.8268,9.3039,2.6121
0.2798,-1.798,9.3278,2.5857
0.2901,-1.7645,9.3374,2.5594
0.2999,-1.7406,9.3494,2.5307
0.3099,-1.7418,9.3625,2.5055
0.3201,-1.7561,9.3697,2.4995
0.33,-1.7514,9.3853,2.5103
0.3399,-1.7047,9.3805,2.5199
0.3498,-1.7131,9.4164,2.6013
0.3599,-1.6352,9.3948,2.6516
0.3699,-1.5514,9.4272,2.7342
0.3798,-1.4126,9.4391,2.7988
0.3899,-1.2773,9.4667,2.8527
0.3999,-1.1432,9.4894,2.8575
0.4099,-1.0487,9.4858,2.8695
0.4201,-1.0175,9.5026,2.8838
0.43,-0.9697,9.4667,2.8311
0.4399,-0.9708,9.4475,2.8228
0.4498,-0.9673,9.4152,2.7809
0.4599,-0.9002,9.3134,2.7354
0.4699,-0.8918,9.2668,2.7007
0.4798,-0.8428,9.1794,2.709
0.4899,-0.8212,9.1423,2.7126
0.4999,-0.8416,9.1459,2.6971
0.5099,-0.8535,9.1243,2.7019
0.5199,-0.8392,9.0489,2.7366
0.5299,-0.8906,9.086,2.7497
0.5399,-0.905,9.086,2.7342
0.5499,-0.923,9.0812,2.7701
0.5602,-0.9409,9.0752,2.8
0.5699,-0.9577,9.0752,2.8467
0.5799,-0.9541,9.0788,2.897
0.5899,-0.9349,9.0836,2.9437
0.5999,-0.8882,9.0944,2.9916
0.6098,-0.8068,9.098,3.0466
0.62,-0.7123,9.1016,3.0861
0.6299,-0.6309,9.1087,3.1005
0.6399,-0.5519,9.1255,3.1101
0.6498,-0.4944,9.1411,3.1065
0.6599,-0.4525,9.1399,3.0921
0.6699,-0.4154,9.1351,3.0754
0.6798,-0.3986,9.1243,3.049
0.6901,-0.401,9.1111,3.0275
0.6999,-0.3891,9.0477,2.9963
0.7099,-0.4609,9.0872,2.9604
0.72,-0.5267,9.104,2.9281
0.7298,-0.577,9.098,2.9113
0.7398,-0.6069,9.0597,2.8407
0.7499,-0.6608,9.0896,2.794
0.7599,-0.7183,9.1482,2.7569
0.7699,-0.7901,9.2344,2.7545
0.7799,-0.8619,9.3122,2.7641
0.7899,-0.8823,9.3326,2.7713
0.7999,-0.8595,9.3984,2.7737
0.8099,-0.7709,9.5277,2.7988
0.8199,-0.6165,9.7528,2.8383
0.8299,-0.4058,10.0066,2.897
0.8398,-0.243,10.3849,2.9497
0.85,-0.1676,10.8278,2.9509
0.8598,-0.0814,11.1666,2.9724
0.8699,-0.0742,11.4946,3.0143
0.8799,-0.0371,11.716,3.0742
0.8899,-0.0407,11.813,2.9892
0.8998,-0.0479,11.7938,2.8862
0.9098,-0.182,11.8429,2.7438
0.9199,-0.3172,11.7807,2.6145
0.9299,-0.4932,11.6454,2.4792
0.9398,-0.7278,11.4419,2.3607
0.9499,-1.0092,11.1785,2.2829
0.9599,-1.3946,10.8721,2.1392
0.9699,-1.8567,10.8637,2.0399
0.9799,-2.3116,10.5261,2.0171
0.9899,-2.3116,10.1718,2.0435
0.9999,-2.6276,9.8306,2.0435
1.0099,-2.7557,9.5996,2.0782
1.0199,-2.6612,9.5505,2.1069
1.0299,-2.5091,9.7085,2.0949
1.0401,-2.2541,9.8964,2.0997
1.0499,-2.0111,10.1311,2.1141
1.0599,-1.8459,10.3501,2.0865
1.0699,-1.6999,10.4519,2.0423
1.0799,-1.6029,10.4758,2.0016
1.0899,-1.5718,10.4483,1.9609
1.0998,-1.5778,10.3717,1.9513
